NBA on NBC (c) 1998 Midway - ANNOUNCER - MISCELLAN (04/14/99 17:21:46) page 1

PLBUILD version 3.0G

Bank Information
----------------

Bank name: SCA_MISC.BNK

Size of .BNK file including header: 935132 bytes ($E44DC bytes)

Size of playlist table: 2332 bytes ($91C bytes)

Size of playlist and sound data only: 932666 bytes ($E3B3A bytes)

Checksum: $1906

Total number of playlists: 221 ($DD)

Total number of sound files: 221 ($DD)

Average bit rate for bank: 25.1 kbits/sec

Total linear amount of sound: 4:55.542 (min:sec.msec)



Playlist Table

  Dec  Hex   # Trks  Video  Pinball  Description
  322  $0142   1      119.7   137.3  Its Showtime Overtime
  323  $0143   1       74.9    85.9  Time is winding down
  324  $0144   1       98.4   112.8  And hes not gonna get it off in time
  325  $0145   1       90.8   104.2  He didnt get it off in time
  326  $0146   1       66.1    75.8  The shot clock went off
  327  $0147   1       55.2    63.4  Somebody-s got to shoot it
  328  $0148   1       85.4    97.9  A terrible mental error
  329  $0149   1       54.8    62.9  Somebody-s got to shoot
  330  $014a   1       56.5    64.8  The clock is ticking

  332  $014c   1       61.5    70.6  He knocks the ball loose

  334  $014e   1       52.3    60.0  Theres the steal
  335  $014f   1       51.5    59.0  He pokes it away

  338  $0152   1       71.2    81.6  A careless pass

  340  $0154   1       55.2    63.4  He turns it over
  341  $0155   1       40.2    46.1  He looses it
  342  $0156   1       53.6    61.4  What a steal
  343  $0157   1       53.6    61.4  Great steal
  344  $0158   1       57.3    65.8  Oh those hands are quick
  345  $0159   1       59.0    67.7  Nice steal (laughing)
  346  $015a   1       61.1    70.1  The ball is loose !
  347  $015b   1       50.2    57.6  Intercepted

  349  $015d   1       62.4    71.5  He just picked his pocket

  352  $0160   1       83.7    96.0  That was NOT a heads-up play

  354  $0162   1       36.8    42.2  _ Take on _ (equals Versus)
  355  $0163   1       53.6    61.4  _ Go up against _ (equals Versus)

  360  $0168   1       69.1    79.2  Nice Sportsmanship (push)
  361  $0169   1       51.5    59.0  He gave him a push

  365  $016d   1       23.4    26.9  What!?
  366  $016e   1       40.6    46.6  What was that !?

  370  $0172   1       73.2    84.0  He just flat out leveled him
  371  $0173   1       61.5    70.6  And he gets hit hard
 
NBA on NBC (c) 1998 Midway - ANNOUNCER - MISCELLAN (04/14/99 17:21:46) page 5


Playlist Table (continued)

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  372  $0174   1       55.2    63.4  And he caught an elbow
  373  $0175   1       89.6   102.7  Oh that guy just took a shot
  374  $0176   1       57.3    65.8  That was a cheap shot
  375  $0177   1       67.4    77.3  Now he just knocked him down

  377  $0179   1       89.6   102.7  Play is getting very physical

  380  $017c   1       63.2    72.5  Theres a hard shove

  382  $017e   1       48.1    55.2  He gets by him
  383  $017f   1       60.7    69.6  He gets by his man
  384  $0180   1       53.2    61.0  He goes right by him
  385  $0181   1       49.4    56.6  He slips by
  386  $0182   1       54.0    61.9  He slides by
  387  $0183   1       49.4    56.6  He gets past him
  388  $0184   1       71.2    81.6  And he faked his man out
  389  $0185   1       60.3    69.1  He fakes him right out

  392  $0188   1       56.1    64.3  With the juke move
  393  $0189   1       36.4    41.8  Quick fake
  394  $018a   1       42.3    48.5  And he pump fakes
  395  $018b   1       55.2    63.4  Blows right by him
  396  $018c   1       63.6    73.0  Twisting and turning
  397  $018d   1       74.1    85.0  He spun right by his man

  399  $018f   1       40.6    46.6  Great fake
  400  $0190   1       67.8    77.8  And he gets him with the head fake
  401  $0191   1       51.9    59.5  Quick crossover

  405  $0195   1       71.6    82.1  With a fancy crossover
  406  $0196   1       71.6    82.1  With the fancy dribbling
  407  $0197   1       60.7    69.6  Goes between his legs

  409  $0199   1       44.8    51.4  Crosses over
  410  $019a   1       68.2    78.2  Shows left and goes right
  411  $019b   1       78.7    90.2  Shows right and goes left
  412  $019c   1       33.5    38.4  Fakes left
  413  $019d   1       33.9    38.9  Fakes right

  415  $019f   1       61.9    71.0  Nice hesitation

  418  $01a2   1       50.2    57.6  With the juke move
  419  $01a3   1       71.2    81.6  And with one quick move
  420  $01a4   1       47.3    54.2  Fancy footwork
  421  $01a5   1       46.9    53.8  Nice footwork

  423  $01a7   1       42.7    49.0  Ohhhh (a fake)

  425  $01a9   1       46.5    53.3  Look at him go
  426  $01aa   1       47.3    54.2  Nice move
  427  $01ab   1       60.3    69.1  Oh with the spin

 
NBA on NBC (c) 1998 Midway - ANNOUNCER - MISCELLAN (04/14/99 17:21:46) page 6

  430  $01ae   1       63.6    73.0  And he finds an opening
  431  $01af   1       55.7    63.8  How did he get through ?

  434  $01b2   1       45.2    51.8  Nicely done
  435  $01b3   1       48.6    55.7  Smooth move
  436  $01b4   1       66.1    75.8  That is a thing of beauty

  440  $01b8   1       72.8    83.5  That is showtime
  441  $01b9   1       83.7    96.0  With the showtime move

  448  $01c0   1       55.7    63.8  Goaltending !
  449  $01c1   1       59.4    68.2  That was goaltending
  450  $01c2   1       78.7    90.2  That looked like goaltending
  451  $01c3   1       76.6    87.8  Goaltending is called
  452  $01c4   1       84.1    96.5  That ball was one its way down

  455  $01c7   1       87.5   100.3  Blocks it and pulls it in
  456  $01c8   1       48.6    55.7  He intercepts it

  460  $01cc   1       91.2   104.6  Blocked it and kept posession

  462  $01ce   1       93.3   107.0  With the block and he keeps it

  467  $01d3   1       82.0    94.1  Get that shot out of here (1)
  468  $01d4   1       82.0    94.1  Get that shot out of here (2)
  469  $01d5   1       57.3    65.8  Not today baby
  470  $01d6   1       50.2    57.6  The takeaway
  471  $01d7   1       57.3    65.8  And he-ll take it away
  472  $01d8   1       37.7    43.2  Steals it

  480  $01e0   1       52.3    60.0  And he deflects it
  481  $01e1   1       56.5    64.8  Deflected away
  482  $01e2   1       59.4    68.2  And he got a piece of it
  483  $01e3   1       46.9    53.8  He got a piece of it
  484  $01e4   1       59.9    68.6  He got his fingers on it
  485  $01e5   1       41.4    47.5  Deflected

  487  $01e7   1       56.1    64.3  Knocks it away
  488  $01e8   1       69.9    80.2  He just got his hand on it
  489  $01e9   1       77.4    88.8  Just got enough to deflect it
  490  $01ea   1       74.5    85.4  He redirected that one
  491  $01eb   1       84.5    97.0  I think he changed the flight of the ball
  492  $01ec   1      103.0   118.1  And he might have gottena fingertip on that
  493  $01ed   1       50.2    57.6  He got a piece of it!
  494  $01ee   1       59.0    67.7  That was all ball

  505  $01f9   1      109.2   125.3  And he got that ball off just in time (over opponent or shot clock)

  530  $0212   1       56.1    64.3  And he-s fouled

  532  $0214   1       60.3    69.1  They called a foul
  533  $0215   1       82.9    95.0  And they call the foul
  534  $0216   1       67.8    77.8  And a foul is called
  535  $0217   1       64.9    74.4  And he-ll go to the line

  537  $0219   1       67.8    77.8  He-ll be going to the line
  538  $021a   1       70.7    81.1  And they are over the limit
 
NBA on NBC (c) 1998 Midway - ANNOUNCER - MISCELLAN (04/14/99 17:21:46) page 7


Playlist Table (continued)

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  539  $021b   1      105.5   121.0  You dont want to give them free throws here

  543  $021f   1       68.6    78.7  One push too many

  546  $0222   1      100.0   114.7  What a time to send em to the line
  547  $0223   1       97.5   111.8  And that free throw could seal it
  548  $0224   1      126.0   144.5  And if he hits this one its all over

  568  $0238   1       67.0    76.8  And he hits the free throw
  569  $0239   1       49.4    56.6  And thats good
  570  $023a   1       61.9    71.0  Is it the shoes? (rim-hang)
  571  $023b   1       48.1    55.2  Why!?

  573  $023d   1      105.9   121.4  Oh what a way to end the game

  582  $0246   1      100.0   114.7  The Double Rule is in effect

Total 221 Playlists
